hex	char	name	preferred	used_face	n_fonts	full_cover_fonts	alt_fonts
U+2460	①	CIRCLED DIGIT ONE	STIX Two Math	STIX Two Math Regular	10	JuliaMono|STIX Two Math	JuliaMono|Arial Unicode MS|Songti SC|Hiragino Sans|Monaspace Xenon|AppleGothic|Hiragino Sans GB|.CJK Symbols Fallback HK|Heiti SC
U+2461	②	CIRCLED DIGIT TWO	STIX Two Math	STIX Two Math Regular	10	JuliaMono|STIX Two Math	JuliaMono|Arial Unicode MS|Songti SC|Hiragino Sans|Monaspace Xenon|AppleGothic|Hiragino Sans GB|.CJK Symbols Fallback HK|Heiti SC
U+2462	③	CIRCLED DIGIT THREE	STIX Two Math	STIX Two Math Regular	10	JuliaMono|STIX Two Math	JuliaMono|Arial Unicode MS|Songti SC|Hiragino Sans|Monaspace Xenon|AppleGothic|Hiragino Sans GB|.CJK Symbols Fallback HK|Heiti SC
U+2463	④	CIRCLED DIGIT FOUR	STIX Two Math	STIX Two Math Regular	10	JuliaMono|STIX Two Math	JuliaMono|Arial Unicode MS|Songti SC|Hiragino Sans|Monaspace Xenon|AppleGothic|Hiragino Sans GB|.CJK Symbols Fallback HK|Heiti SC
U+2464	⑤	CIRCLED DIGIT FIVE	STIX Two Math	STIX Two Math Regular	10	JuliaMono|STIX Two Math	JuliaMono|Arial Unicode MS|Songti SC|Hiragino Sans|Monaspace Xenon|AppleGothic|Hiragino Sans GB|.CJK Symbols Fallback HK|Heiti SC
U+2465	⑥	CIRCLED DIGIT SIX	STIX Two Math	STIX Two Math Regular	10	JuliaMono|STIX Two Math	JuliaMono|Arial Unicode MS|Songti SC|Hiragino Sans|Monaspace Xenon|AppleGothic|Hiragino Sans GB|.CJK Symbols Fallback HK|Heiti SC
U+2466	⑦	CIRCLED DIGIT SEVEN	STIX Two Math	STIX Two Math Regular	10	JuliaMono|STIX Two Math	JuliaMono|Arial Unicode MS|Songti SC|Hiragino Sans|Monaspace Xenon|AppleGothic|Hiragino Sans GB|.CJK Symbols Fallback HK|Heiti SC
U+2467	⑧	CIRCLED DIGIT EIGHT	STIX Two Math	STIX Two Math Regular	10	JuliaMono|STIX Two Math	JuliaMono|Arial Unicode MS|Songti SC|Hiragino Sans|Monaspace Xenon|AppleGothic|Hiragino Sans GB|.CJK Symbols Fallback HK|Heiti SC
U+2468	⑨	CIRCLED DIGIT NINE	STIX Two Math	STIX Two Math Regular	10	JuliaMono|STIX Two Math	JuliaMono|Arial Unicode MS|Songti SC|Hiragino Sans|Monaspace Xenon|AppleGothic|Hiragino Sans GB|.CJK Symbols Fallback HK|Heiti SC
U+2469	⑩	CIRCLED NUMBER TEN	STIX Two Math	STIX Two Math Regular	9	JuliaMono|STIX Two Math	JuliaMono|Arial Unicode MS|Songti SC|Hiragino Sans|Monaspace Xenon|AppleGothic|Hiragino Sans GB|Heiti SC
