block	assigned	font	covered	pct	lineage
Basic Latin	128	JetBrains Mono	98	76.6	embedded-ghostty
Basic Latin	128	JetBrains Mono NoNF	98	76.6	embedded-ghostty
Basic Latin	128	JuliaMono	99	77.3	embedded-ghostty
Basic Latin	128	Lilex	98	76.6	embedded-ghostty
Basic Latin	128	Monaspace Neon	98	76.6	embedded-ghostty
Basic Latin	128	Apple Symbols	98	76.6	apple-system
Basic Latin	128	STIX Two Math	98	76.6	math
Basic Latin	128	Arial Unicode MS	98	76.6	pan-unicode-dump
Basic Latin	128	LastResort	128	100.0	last-resort
Basic Latin	128	Apple Color Emoji	16	12.5	apple-system
Basic Latin	128	PingFang SC	98	76.6	apple-cjk
Basic Latin	128	Songti SC	99	77.3	apple-cjk
Basic Latin	128	Hiragino Sans	127	99.2	apple-cjk
Basic Latin	128	VictorMono NFM SemiBold	98	76.6	nerd-patch
Basic Latin	128	Monaspace Xenon	98	76.6	native
Basic Latin	128	VictorMono Nerd Font Mono	98	76.6	nerd-patch
Basic Latin	128	PingFang HK	98	76.6	apple-cjk
Basic Latin	128	Kefa III	99	77.3	unknown
Basic Latin	128	Noto Sans Vai	5	3.9	noto
Basic Latin	128	PingFang MO	98	76.6	apple-cjk
Basic Latin	128	Geneva	101	78.9	unknown
Basic Latin	128	Courier New	98	76.6	unknown
Basic Latin	128	CaskaydiaCove Nerd Font Mono	98	76.6	nerd-patch
Basic Latin	128	Noto Serif Myanmar	6	4.7	noto
Basic Latin	128	Noto Sans Coptic	6	4.7	noto
Basic Latin	128	Khmer MN	99	77.3	unknown
Basic Latin	128	.SF Malayalam	5	3.9	unknown
Basic Latin	128	Noto Sans Glagolitic	5	3.9	noto
Basic Latin	128	Noto Serif Balinese	5	3.9	noto
Basic Latin	128	Noto Sans Tai Tham	5	3.9	noto
Basic Latin	128	Noto Sans Bamum	5	3.9	noto
Basic Latin	128	Noto Sans New Tai Lue	5	3.9	noto
Basic Latin	128	Noto Sans Javanese	5	3.9	noto
Basic Latin	128	Kohinoor Devanagari	99	77.3	unknown
Basic Latin	128	Noto Sans Cham	17	13.3	noto
Basic Latin	128	Noto Sans Tai Viet	5	3.9	noto
Basic Latin	128	Noto Sans Saurashtra	5	3.9	noto
Basic Latin	128	Noto Sans Meetei Mayek	5	3.9	noto
Basic Latin	128	Sinhala Sangam MN	99	77.3	unknown
Basic Latin	128	PingFang TC	98	76.6	apple-cjk
Basic Latin	128	Noto Sans Sundanese	6	4.7	noto
Basic Latin	128	Noto Sans PhagsPa	5	3.9	noto
Basic Latin	128	Noto Sans Lepcha	5	3.9	noto
Basic Latin	128	Noto Sans NKo	5	3.9	noto
Basic Latin	128	AppleGothic	102	79.7	unknown
Basic Latin	128	Noto Sans Ol Chiki	5	3.9	noto
Basic Latin	128	Noto Sans Syriac	18	14.1	noto
Basic Latin	128	Noto Sans Limbu	5	3.9	noto
Basic Latin	128	Noto Sans Batak	5	3.9	noto
Basic Latin	128	Noto Sans Samaritan	5	3.9	noto
Basic Latin	128	Noto Sans Kayah Li	6	4.7	noto
Basic Latin	128	Noto Sans Thaana	12	9.4	noto
Basic Latin	128	Noto Sans Syloti Nagri	5	3.9	noto
Basic Latin	128	Noto Sans Tai Le	5	3.9	noto
Basic Latin	128	Hiragino Sans GB	127	99.2	apple-cjk
Basic Latin	128	Noto Sans Mandaic	5	3.9	noto
Basic Latin	128	Symbol	39	30.5	unknown
Basic Latin	128	Noto Sans Buginese	5	3.9	noto
Basic Latin	128	Noto Sans Rejang	5	3.9	noto
Basic Latin	128	Noto Sans Tagalog	5	3.9	noto
Basic Latin	128	Noto Sans Hanunoo	5	3.9	noto
Basic Latin	128	Noto Sans Buhid	5	3.9	noto
Basic Latin	128	Noto Sans Tagbanwa	5	3.9	noto
Basic Latin	128	Grantha Sangam MN	98	76.6	unknown
Basic Latin	128	Kohinoor Telugu	99	77.3	unknown
Basic Latin	128	Mukta Mahee	99	77.3	unknown
