cp	hex	char	block	preferred	used_face	n_fonts	preferred_has_native	alt_fonts
0	U+0000		Basic Latin			57	no	Hiragino Sans|Kefa III|Noto Sans Vai|Geneva|Noto Serif Myanmar|Noto Sans Coptic|Khmer MN|Noto Sans Glagolitic|Noto Serif Balinese|Noto Sans Tai Tham|Noto Sans Bamum|Noto Sans New Tai Lue|Noto Sans Javanese|Kohinoor Devanagari|Noto Sans Cham|Noto Sans Tai Viet|Noto Sans Saurashtra|Noto Sans Meetei Mayek|Sinhala Sangam MN|Noto Sans Sundanese|Noto Sans PhagsPa|Noto Sans Lepcha|Noto Sans NKo|AppleGothic|Noto Sans Ol Chiki|Noto Sans Syriac|Noto Sans Limbu|Noto Sans Batak|Noto Sans Samaritan|Noto Sans Kayah Li|Noto Sans Thaana|Noto Sans Syloti Nagri|Noto Sans Tai Le|Hiragino Sans GB|Noto Sans Mandaic|Symbol|Noto Sans Buginese|Noto Sans Rejang|Noto Sans Tagalog|Noto Sans Hanunoo|Noto Sans Buhid|Noto Sans Tagbanwa|Kohinoor Telugu|Mukta Mahee|Noto Sans Oriya|Lucida Grande|Noto Nastaliq Urdu|Kohinoor Bangla|Gujarati Sangam MN|Kannada MN|Kokonor|Sukhumvit Set|Galvji|.DecoType Nastaleeq Urdu UI|Kohinoor Gujarati|Noto Sans Kannada|Heiti SC
1	U+0001		Basic Latin			2	no	Hiragino Sans|Hiragino Sans GB
2	U+0002		Basic Latin			3	no	Hiragino Sans|Hiragino Sans GB|Galvji
3	U+0003		Basic Latin			2	no	Hiragino Sans|Hiragino Sans GB
4	U+0004		Basic Latin			2	no	Hiragino Sans|Hiragino Sans GB
5	U+0005		Basic Latin			2	no	Hiragino Sans|Hiragino Sans GB
6	U+0006		Basic Latin			2	no	Hiragino Sans|Hiragino Sans GB
7	U+0007		Basic Latin			2	no	Hiragino Sans|Hiragino Sans GB
8	U+0008		Basic Latin			7	no	Hiragino Sans|Geneva|AppleGothic|Hiragino Sans GB|Symbol|.DecoType Nastaleeq Urdu UI|Heiti SC
9	U+0009		Basic Latin			85	no	JetBrains Mono|JetBrains Mono NoNF|JuliaMono|Lilex|Monaspace Neon|Apple Symbols|STIX Two Math|Arial Unicode MS|Apple Color Emoji|PingFang SC|Songti SC|Hiragino Sans|VictorMono NFM SemiBold|Monaspace Xenon|VictorMono Nerd Font Mono|PingFang HK|Kefa III|Noto Sans Vai|PingFang MO|Geneva|Courier New|CaskaydiaCove Nerd Font Mono|Noto Serif Myanmar|Noto Sans Coptic|Khmer MN|.SF Malayalam|Noto Sans Glagolitic|Noto Serif Balinese|Noto Sans Tai Tham|Noto Sans Bamum|Noto Sans New Tai Lue|Noto Sans Javanese|Kohinoor Devanagari|Noto Sans Cham|Noto Sans Tai Viet|Noto Sans Saurashtra|Noto Sans Meetei Mayek|Sinhala Sangam MN|PingFang TC|Noto Sans Sundanese|Noto Sans PhagsPa|Noto Sans Lepcha|Noto Sans NKo|AppleGothic|Noto Sans Ol Chiki|Noto Sans Syriac|Noto Sans Limbu|Noto Sans Batak|Noto Sans Samaritan|Noto Sans Kayah Li|Noto Sans Thaana|Noto Sans Syloti Nagri|Noto Sans Tai Le|Hiragino Sans GB|Noto Sans Mandaic|Symbol|Noto Sans Buginese|Noto Sans Rejang|Noto Sans Tagalog|Noto Sans Hanunoo|Noto Sans Buhid|Noto Sans Tagbanwa|Grantha Sangam MN|Kohinoor Telugu|Mukta Mahee|Athelas|Superclarendon|Noto Sans Oriya|Lucida Grande|Noto Nastaliq Urdu|.SF Arabic|Kohinoor Bangla|Gujarati Sangam MN|Kannada MN|Kokonor|Sukhumvit Set|.SF Telugu|.SF Kannada|Galvji|.DecoType Nastaleeq Urdu UI|Kohinoor Gujarati|Noto Sans Kannada|Heiti SC|.SF Devanagari|Geeza Pro
