cp	hex	cluster	fill	cx	cy	bbox_w	bbox_h	aspect	dhash	grid16
33	U+0021	28	0.1118	0.4611	0.4988	0.2973	0.5312	0.5596	004081020c180001	000000000000000003c003c003c003c003c003c003c007c003c0000000000000
34	U+0022	27	0.1047	0.4597	0.3634	0.6486	0.2396	2.7074	01b366c000000001	00000000000000001e781e781e781e7800000000000000000000000000000000
35	U+0023	18	0.2919	0.4689	0.5048	0.9459	0.5208	1.8162	009b364d93240021	00000000000000000e3c1e3cffffffff1c78ffff7ffe78f078f0000000000000
36	U+0024	21	0.3178	0.4650	0.5075	0.8919	0.6667	1.3378	00c2850654b80069	00000000018007c03ffc7ffe7fc03ff007fc03de73de7ffc1ff803c000000000
37	U+0025	45	0.3162	0.4842	0.5092	0.9730	0.5417	1.7963	0180b50e16ce00c9	0000000000003c00ff8fe7bffffc7ff00fd01ffffdeff1ff00fe000000000000
38	U+0026	21	0.3088	0.3990	0.5317	0.9730	0.5417	1.7963	0182850887330059	0000000000000c007f80f3c0f7c07ffe7efffff8e3f8fffe3f9f000000000000
39	U+0027	22	0.0541	0.4611	0.3584	0.2432	0.2396	1.0153	0040810000000000	000000000000000003c003c003c003c000000000000000000000000000000000
40	U+0028	30	0.1681	0.4100	0.5055	0.5676	0.7083	0.8013	0063860c181c0001	00000000007803f807c00f001e001e001e001e000f000f8003f001f800000000
41	U+0029	27	0.1684	0.5117	0.5060	0.5676	0.7083	0.8013	0180c0c186380001	000000001e001fc003e000f000f000780078007000f001e01fc01f0000000000
42	U+002A	16	0.1889	0.4623	0.5029	0.9189	0.3854	2.3842	0000852e14800021	0000000000000000000003c0fbfefffe3ffcfffe03c003800000000000000000
43	U+002B	28	0.1334	0.4734	0.5052	0.9459	0.3750	2.5225	0000850a04000031	0000000000000000000003c003c0ffffffff03c003c001800000000000000000
44	U+002C	22	0.0560	0.4481	0.7720	0.3514	0.2396	1.4665	000000000c183000	000000000000000000000000000000000000000003c007c003c007c007000000
