hex	char	cat	decimal	digit	numeric	name
U+0030	0	Nd	0	0	0.0	DIGIT ZERO
U+0031	1	Nd	1	1	1.0	DIGIT ONE
U+0032	2	Nd	2	2	2.0	DIGIT TWO
U+0033	3	Nd	3	3	3.0	DIGIT THREE
U+0034	4	Nd	4	4	4.0	DIGIT FOUR
U+0035	5	Nd	5	5	5.0	DIGIT FIVE
U+0036	6	Nd	6	6	6.0	DIGIT SIX
U+0037	7	Nd	7	7	7.0	DIGIT SEVEN
U+0038	8	Nd	8	8	8.0	DIGIT EIGHT
U+0039	9	Nd	9	9	9.0	DIGIT NINE
U+00B2	²	No	None	2	2.0	SUPERSCRIPT TWO
U+00B3	³	No	None	3	3.0	SUPERSCRIPT THREE
U+00B9	¹	No	None	1	1.0	SUPERSCRIPT ONE
U+00BC	¼	No	None	None	0.25	VULGAR FRACTION ONE QUARTER
U+00BD	½	No	None	None	0.5	VULGAR FRACTION ONE HALF
U+00BE	¾	No	None	None	0.75	VULGAR FRACTION THREE QUARTERS
U+0660	٠	Nd	0	0	0.0	ARABIC-INDIC DIGIT ZERO
U+0661	١	Nd	1	1	1.0	ARABIC-INDIC DIGIT ONE
U+0662	٢	Nd	2	2	2.0	ARABIC-INDIC DIGIT TWO
U+0663	٣	Nd	3	3	3.0	ARABIC-INDIC DIGIT THREE
U+0664	٤	Nd	4	4	4.0	ARABIC-INDIC DIGIT FOUR
U+0665	٥	Nd	5	5	5.0	ARABIC-INDIC DIGIT FIVE
U+0666	٦	Nd	6	6	6.0	ARABIC-INDIC DIGIT SIX
U+0667	٧	Nd	7	7	7.0	ARABIC-INDIC DIGIT SEVEN
U+0668	٨	Nd	8	8	8.0	ARABIC-INDIC DIGIT EIGHT
U+0669	٩	Nd	9	9	9.0	ARABIC-INDIC DIGIT NINE
U+06F0	۰	Nd	0	0	0.0	EXTENDED ARABIC-INDIC DIGIT ZERO
U+06F1	۱	Nd	1	1	1.0	EXTENDED ARABIC-INDIC DIGIT ONE
U+06F2	۲	Nd	2	2	2.0	EXTENDED ARABIC-INDIC DIGIT TWO
U+06F3	۳	Nd	3	3	3.0	EXTENDED ARABIC-INDIC DIGIT THREE
U+06F4	۴	Nd	4	4	4.0	EXTENDED ARABIC-INDIC DIGIT FOUR
U+06F5	۵	Nd	5	5	5.0	EXTENDED ARABIC-INDIC DIGIT FIVE
U+06F6	۶	Nd	6	6	6.0	EXTENDED ARABIC-INDIC DIGIT SIX
U+06F7	۷	Nd	7	7	7.0	EXTENDED ARABIC-INDIC DIGIT SEVEN
U+06F8	۸	Nd	8	8	8.0	EXTENDED ARABIC-INDIC DIGIT EIGHT
U+06F9	۹	Nd	9	9	9.0	EXTENDED ARABIC-INDIC DIGIT NINE
U+07C0	߀	Nd	0	0	0.0	NKO DIGIT ZERO
U+07C1	߁	Nd	1	1	1.0	NKO DIGIT ONE
U+07C2	߂	Nd	2	2	2.0	NKO DIGIT TWO
U+07C3	߃	Nd	3	3	3.0	NKO DIGIT THREE
U+07C4	߄	Nd	4	4	4.0	NKO DIGIT FOUR
U+07C5	߅	Nd	5	5	5.0	NKO DIGIT FIVE
U+07C6	߆	Nd	6	6	6.0	NKO DIGIT SIX
U+07C7	߇	Nd	7	7	7.0	NKO DIGIT SEVEN
U+07C8	߈	Nd	8	8	8.0	NKO DIGIT EIGHT
U+07C9	߉	Nd	9	9	9.0	NKO DIGIT NINE
U+0966	०	Nd	0	0	0.0	DEVANAGARI DIGIT ZERO
U+0967	१	Nd	1	1	1.0	DEVANAGARI DIGIT ONE
U+0968	२	Nd	2	2	2.0	DEVANAGARI DIGIT TWO
U+0969	३	Nd	3	3	3.0	DEVANAGARI DIGIT THREE
U+096A	४	Nd	4	4	4.0	DEVANAGARI DIGIT FOUR
U+096B	५	Nd	5	5	5.0	DEVANAGARI DIGIT FIVE
U+096C	६	Nd	6	6	6.0	DEVANAGARI DIGIT SIX
U+096D	७	Nd	7	7	7.0	DEVANAGARI DIGIT SEVEN
U+096E	८	Nd	8	8	8.0	DEVANAGARI DIGIT EIGHT
U+096F	९	Nd	9	9	9.0	DEVANAGARI DIGIT NINE
U+09E6	০	Nd	0	0	0.0	BENGALI DIGIT ZERO
U+09E7	১	Nd	1	1	1.0	BENGALI DIGIT ONE
U+09E8	২	Nd	2	2	2.0	BENGALI DIGIT TWO
U+09E9	৩	Nd	3	3	3.0	BENGALI DIGIT THREE
U+09EA	৪	Nd	4	4	4.0	BENGALI DIGIT FOUR
U+09EB	৫	Nd	5	5	5.0	BENGALI DIGIT FIVE
U+09EC	৬	Nd	6	6	6.0	BENGALI DIGIT SIX
U+09ED	৭	Nd	7	7	7.0	BENGALI DIGIT SEVEN
U+09EE	৮	Nd	8	8	8.0	BENGALI DIGIT EIGHT
U+09EF	৯	Nd	9	9	9.0	BENGALI DIGIT NINE
U+09F4	৴	No	None	None	0.0625	BENGALI CURRENCY NUMERATOR ONE
U+09F5	৵	No	None	None	0.125	BENGALI CURRENCY NUMERATOR TWO
U+09F6	৶	No	None	None	0.1875	BENGALI CURRENCY NUMERATOR THREE
U+09F7	৷	No	None	None	0.25	BENGALI CURRENCY NUMERATOR FOUR
U+09F8	৸	No	None	None	0.75	BENGALI CURRENCY NUMERATOR ONE LESS THAN THE DENOMINATOR
