cp	hex	char	name	category	block	script	numeric_type	numeric_value	number_system	number_form	number_role	presentation	ucd_numeric	gradient_family	gradient_kind	gradient_axis	gradient_value	gradient_param	structured_family
0	U+0000			Cc	Basic Latin	Common	none						no						
1	U+0001			Cc	Basic Latin	Common	none						no						
2	U+0002			Cc	Basic Latin	Common	none						no						
3	U+0003			Cc	Basic Latin	Common	none						no						
4	U+0004			Cc	Basic Latin	Common	none						no						
5	U+0005			Cc	Basic Latin	Common	none						no						
6	U+0006			Cc	Basic Latin	Common	none						no						
7	U+0007			Cc	Basic Latin	Common	none						no						
8	U+0008			Cc	Basic Latin	Common	none						no						
9	U+0009			Cc	Basic Latin	Common	none						no						
10	U+000A			Cc	Basic Latin	Common	none						no						
11	U+000B			Cc	Basic Latin	Common	none						no						
12	U+000C			Cc	Basic Latin	Common	none						no						
13	U+000D			Cc	Basic Latin	Common	none						no						
14	U+000E			Cc	Basic Latin	Common	none						no						
15	U+000F			Cc	Basic Latin	Common	none						no						
16	U+0010			Cc	Basic Latin	Common	none						no						
17	U+0011			Cc	Basic Latin	Common	none						no						
18	U+0012			Cc	Basic Latin	Common	none						no						
19	U+0013			Cc	Basic Latin	Common	none						no						
20	U+0014			Cc	Basic Latin	Common	none						no						
21	U+0015			Cc	Basic Latin	Common	none						no						
22	U+0016			Cc	Basic Latin	Common	none						no						
23	U+0017			Cc	Basic Latin	Common	none						no						
24	U+0018			Cc	Basic Latin	Common	none						no						
25	U+0019			Cc	Basic Latin	Common	none						no						
26	U+001A			Cc	Basic Latin	Common	none						no						
27	U+001B			Cc	Basic Latin	Common	none						no						
28	U+001C			Cc	Basic Latin	Common	none						no						
29	U+001D			Cc	Basic Latin	Common	none						no						
30	U+001E			Cc	Basic Latin	Common	none						no						
31	U+001F			Cc	Basic Latin	Common	none						no						
32	U+0020	 	SPACE	Zs	Basic Latin	Common	none						no						
33	U+0021	!	EXCLAMATION MARK	Po	Basic Latin	Common	none						no						
