relpath	lines_before	lines_after	joins	join_pct	phb_mine
asf@HEAD/01-aat-core/src/causal-access-intro.md	79	79	0	0.000	
asf@HEAD/01-aat-core/src/cooperative-adversarial-intro.md	57	57	0	0.000	
asf@HEAD/01-aat-core/src/def-action-transition.md	85	85	0	0.000	
asf@HEAD/01-aat-core/src/def-adaptive-tempo.md	97	97	0	0.000	
asf@HEAD/01-aat-core/src/def-agent-environment.md	86	86	0	0.000	
asf@HEAD/01-aat-core/src/def-agent-spectrum.md	104	104	0	0.000	
asf@HEAD/01-aat-core/src/def-causal-information-yield.md	91	91	0	0.000	
asf@HEAD/01-aat-core/src/def-chronica.md	106	106	0	0.000	
asf@HEAD/01-aat-core/src/def-control-regret.md	92	92	0	0.000	
asf@HEAD/01-aat-core/src/def-mismatch-signal.md	89	89	0	0.000	
asf@HEAD/01-aat-core/src/def-model-class-fitness.md	74	74	0	0.000	
asf@HEAD/01-aat-core/src/def-model-sufficiency.md	82	82	0	0.000	
asf@HEAD/01-aat-core/src/def-mood.md	56	56	0	0.000	
asf@HEAD/01-aat-core/src/def-observation-function.md	82	82	0	0.000	
asf@HEAD/01-aat-core/src/def-pearl-causal-hierarchy.md	115	115	0	0.000	
asf@HEAD/01-aat-core/src/def-satisfaction-gap.md	117	117	0	0.000	
asf@HEAD/01-aat-core/src/def-shared-intent.md	79	79	0	0.000	
asf@HEAD/01-aat-core/src/def-strategic-calibration.md	96	96	0	0.000	
asf@HEAD/01-aat-core/src/def-strategic-tempo.md	151	151	0	0.000	
asf@HEAD/01-aat-core/src/def-strategy-dag.md	252	251	1	0.004	yes
asf@HEAD/01-aat-core/src/def-strategy-dimension.md	101	101	0	0.000	
asf@HEAD/01-aat-core/src/def-unity-dimensions.md	154	154	0	0.000	
asf@HEAD/01-aat-core/src/def-value-object.md	191	191	0	0.000	
asf@HEAD/01-aat-core/src/der-action-selection.md	104	104	0	0.000	
asf@HEAD/01-aat-core/src/der-adversarial-destabilization.md	125	125	0	0.000	
asf@HEAD/01-aat-core/src/der-agent-opacity.md	241	241	0	0.000	
asf@HEAD/01-aat-core/src/der-architecture-noidentifiability.md	214	214	0	0.000	
asf@HEAD/01-aat-core/src/der-belief-strategy-attractor.md	177	177	0	0.000	
asf@HEAD/01-aat-core/src/der-causal-hierarchy-requirement.md	94	94	0	0.000	
asf@HEAD/01-aat-core/src/der-causal-insufficiency-detection.md	256	256	0	0.000	
asf@HEAD/01-aat-core/src/der-chain-confidence-decay.md	100	100	0	0.000	
asf@HEAD/01-aat-core/src/der-class-coercion-in-composition.md	123	123	0	0.000	
asf@HEAD/01-aat-core/src/der-class-coercion-via-wrapping.md	236	236	0	0.000	
asf@HEAD/01-aat-core/src/der-deliberation-cost.md	137	137	0	0.000	
asf@HEAD/01-aat-core/src/der-directed-separation.md	254	253	1	0.004	yes
asf@HEAD/01-aat-core/src/der-gain-sector-bridge.md	177	177	0	0.000	
asf@HEAD/01-aat-core/src/der-interaction-channel-classification.md	213	213	0	0.000	
asf@HEAD/01-aat-core/src/der-loop-interventional-access.md	123	123	0	0.000	
asf@HEAD/01-aat-core/src/der-mood-timescale.md	56	56	0	0.000	
asf@HEAD/01-aat-core/src/der-multi-timescale-stability.md	132	132	0	0.000	
asf@HEAD/01-aat-core/src/der-observability-dominance.md	97	97	0	0.000	
asf@HEAD/01-aat-core/src/der-orient-cascade.md	158	155	3	0.019	yes
asf@HEAD/01-aat-core/src/der-recursive-update.md	85	85	0	0.000	
asf@HEAD/01-aat-core/src/der-resource-bounded-destabilization.md	113	111	2	0.018	yes
asf@HEAD/01-aat-core/src/der-team-persistence.md	151	151	0	0.000	
asf@HEAD/01-aat-core/src/der-tempo-composition.md	154	147	7	0.045	yes
asf@HEAD/01-aat-core/src/der-temporal-nesting.md	91	91	0	0.000	
asf@HEAD/01-aat-core/src/deriv-adaptive-gain-dynamics.md	193	193	0	0.000	
asf@HEAD/01-aat-core/src/deriv-bilateral-trade-impossibility.md	128	128	0	0.000	
asf@HEAD/01-aat-core/src/deriv-causal-ib-exploration.md	106	104	2	0.019	yes
asf@HEAD/01-aat-core/src/deriv-causal-ib-lmi.md	168	168	0	0.000	
asf@HEAD/01-aat-core/src/deriv-convention-monotonicity.md	104	104	0	0.000	
asf@HEAD/01-aat-core/src/deriv-critical-mass-composition.md	253	253	0	0.000	
asf@HEAD/01-aat-core/src/deriv-discrete-sector-condition.md	232	232	0	0.000	
asf@HEAD/01-aat-core/src/deriv-edge-credence-dynamics.md	683	681	2	0.003	yes
asf@HEAD/01-aat-core/src/deriv-edge-update-natural-parameter.md	160	160	0	0.000	
asf@HEAD/01-aat-core/src/deriv-fisher-local-update-gain.md	147	147	0	0.000	
asf@HEAD/01-aat-core/src/deriv-fisher-whitened-update-rule.md	119	119	0	0.000	
asf@HEAD/01-aat-core/src/deriv-gain-sector.md	331	331	0	0.000	
asf@HEAD/01-aat-core/src/deriv-graph-structure-uniqueness.md	245	245	0	0.000	
asf@HEAD/01-aat-core/src/deriv-l1-update-bias.md	122	122	0	0.000	
asf@HEAD/01-aat-core/src/deriv-matrix-persistence-condition.md	160	160	0	0.000	
asf@HEAD/01-aat-core/src/deriv-mechanism-counterfactual-separation.md	76	76	0	0.000	
asf@HEAD/01-aat-core/src/deriv-observation-ambiguity-bias-bound.md	261	261	0	0.000	
asf@HEAD/01-aat-core/src/deriv-persistence-cost.md	200	191	9	0.045	yes
asf@HEAD/01-aat-core/src/deriv-recursive-update.md	242	242	0	0.000	
asf@HEAD/01-aat-core/src/deriv-regime-marginal-indistinguishability.md	156	156	0	0.000	
asf@HEAD/01-aat-core/src/deriv-reward-channel-learning-no-go.md	177	177	0	0.000	
asf@HEAD/01-aat-core/src/deriv-sector-condition.md	362	362	0	0.000	
asf@HEAD/01-aat-core/src/deriv-self-actuation-grounding.md	166	166	0	0.000	
asf@HEAD/01-aat-core/src/deriv-social-welfare-aggregation-impossibility.md	126	126	0	0.000	
asf@HEAD/01-aat-core/src/deriv-stochastic-non-exit.md	116	116	0	0.000	
asf@HEAD/01-aat-core/src/deriv-strategic-composition.md	265	265	0	0.000	
asf@HEAD/01-aat-core/src/deriv-strategic-persistence-hard-ceiling.md	107	107	0	0.000	
asf@HEAD/01-aat-core/src/deriv-strategy-cost-regret-bound.md	319	319	0	0.000	
asf@HEAD/01-aat-core/src/deriv-strategy-proofness-impossibility.md	131	131	0	0.000	
asf@HEAD/01-aat-core/src/deriv-tempo-additivity.md	108	108	0	0.000	
asf@HEAD/01-aat-core/src/deriv-update-detection-latency.md	124	124	0	0.000	
asf@HEAD/01-aat-core/src/deriv-variational-sector-condition.md	122	122	0	0.000	
asf@HEAD/01-aat-core/src/detail-linear-ode-approximation.md	238	238	0	0.000	
asf@HEAD/01-aat-core/src/detail-operationalization.md	195	193	2	0.010	yes
asf@HEAD/01-aat-core/src/disc-additive-coordinate-forcing.md	155	153	2	0.013	yes
asf@HEAD/01-aat-core/src/disc-adversarial-coupling-pressure.md	176	176	0	0.000	
asf@HEAD/01-aat-core/src/disc-anti-collapse.md	52	52	0	0.000	
asf@HEAD/01-aat-core/src/disc-approximation-tiering.md	72	72	0	0.000	
asf@HEAD/01-aat-core/src/disc-ciy-unified-objective.md	108	107	1	0.009	yes
asf@HEAD/01-aat-core/src/disc-composition-consistency.md	148	148	0	0.000	
asf@HEAD/01-aat-core/src/disc-compression-operations.md	145	145	0	0.000	
asf@HEAD/01-aat-core/src/disc-constructive-impossibility-posture.md	124	124	0	0.000	
asf@HEAD/01-aat-core/src/disc-continuity-stance.md	93	93	0	0.000	
asf@HEAD/01-aat-core/src/disc-credit-assignment-boundary.md	212	211	1	0.005	yes
asf@HEAD/01-aat-core/src/disc-dynamic-regime-axis.md	204	204	0	0.000	
asf@HEAD/01-aat-core/src/disc-exploit-explore-deliberate.md	234	234	0	0.000	
asf@HEAD/01-aat-core/src/disc-identifiability-floor.md	267	267	0	0.000	
asf@HEAD/01-aat-core/src/disc-implementation-impossibility.md	197	197	0	0.000	
asf@HEAD/01-aat-core/src/disc-independence-audit.md	130	130	0	0.000	
asf@HEAD/01-aat-core/src/disc-law-discovery-ceiling.md	81	81	0	0.000	
asf@HEAD/01-aat-core/src/disc-modularity-state-dynamics.md	178	178	0	0.000	
asf@HEAD/01-aat-core/src/disc-partial-coupling-pathways.md	204	204	0	0.000	
asf@HEAD/01-aat-core/src/disc-sandbox-evaluation-ceiling.md	77	77	0	0.000	
asf@HEAD/01-aat-core/src/disc-separability-pattern.md	146	146	0	0.000	
asf@HEAD/01-aat-core/src/disc-stability-certificate.md	143	143	0	0.000	
asf@HEAD/01-aat-core/src/disc-strategic-self-coupling.md	202	202	0	0.000	
asf@HEAD/01-aat-core/src/disc-structural-imagination.md	56	56	0	0.000	
asf@HEAD/01-aat-core/src/disc-value-functional-grounding-floor.md	182	182	0	0.000	
asf@HEAD/01-aat-core/src/disc-w1-structural-bound-boundary.md	89	89	0	0.000	
asf@HEAD/01-aat-core/src/emp-update-gain.md	123	123	0	0.000	
asf@HEAD/01-aat-core/src/example-L1.md	168	168	0	0.000	
asf@HEAD/01-aat-core/src/example-bandit.md	151	151	0	0.000	
asf@HEAD/01-aat-core/src/example-kalman.md	153	153	0	0.000	
asf@HEAD/01-aat-core/src/example-strategy.md	406	406	0	0.000	
asf@HEAD/01-aat-core/src/form-agent-model.md	80	80	0	0.000	
asf@HEAD/01-aat-core/src/form-complete-agent-state.md	92	92	0	0.000	
asf@HEAD/01-aat-core/src/form-composition-closure.md	408	408	0	0.000	
asf@HEAD/01-aat-core/src/form-consolidation-dynamics.md	202	202	0	0.000	
asf@HEAD/01-aat-core/src/form-event-driven-dynamics.md	119	119	0	0.000	
asf@HEAD/01-aat-core/src/form-information-bottleneck.md	93	93	0	0.000	
asf@HEAD/01-aat-core/src/form-objective-functional.md	113	113	0	0.000	
asf@HEAD/01-aat-core/src/form-resource-budget.md	74	74	0	0.000	
asf@HEAD/01-aat-core/src/form-sector-condition.md	138	138	0	0.000	
asf@HEAD/01-aat-core/src/form-strategy-complexity-cost.md	213	213	0	0.000	
asf@HEAD/01-aat-core/src/form-structural-change-as-parametric-limit.md	86	86	0	0.000	
asf@HEAD/01-aat-core/src/hyp-auftragstaktik-principle.md	86	86	0	0.000	
asf@HEAD/01-aat-core/src/hyp-communication-gain.md	95	95	0	0.000	
asf@HEAD/01-aat-core/src/hyp-directed-separation-under-composition.md	112	112	0	0.000	
asf@HEAD/01-aat-core/src/hyp-edge-update-via-gain.md	107	107	0	0.000	
asf@HEAD/01-aat-core/src/hyp-mismatch-dynamics.md	108	108	0	0.000	
asf@HEAD/01-aat-core/src/hyp-symbiogenic-composition.md	153	153	0	0.000	
asf@HEAD/01-aat-core/src/impl-causal-access.md	97	97	0	0.000	
asf@HEAD/01-aat-core/src/impl-composition-machinery.md	81	81	0	0.000	
asf@HEAD/01-aat-core/src/impl-cooperative-adversarial.md	78	78	0	0.000	
asf@HEAD/01-aat-core/src/impl-orient-cascade.md	112	111	1	0.009	yes
asf@HEAD/01-aat-core/src/impl-persistence-and-limits.md	97	97	0	0.000	
asf@HEAD/01-aat-core/src/impl-strategic-composition.md	106	106	0	0.000	
asf@HEAD/01-aat-core/src/impl-strategy-dynamics.md	100	100	0	0.000	
asf@HEAD/01-aat-core/src/impl-strategy-structure.md	88	88	0	0.000	
