relpath	source	ref	n_lines	prose_p50	prose_p90	width_var	hard_breaks	disposition
udon@cc389f9/v2/.archived/INDEX.md	git:udon	cc389f9	12	86	197	4646.1	5	mixed
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/MASTER-REGISTRY.md	git:udon	cc389f9	100	88	143	2039.0	0	mixed
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/MERGED-six-maps.md	git:udon	cc389f9	110	72	89	605.2	22	wrapped
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/agentic-tooling-sources/autopax-practica.md	git:udon	cc389f9	178	79	85	328.5	0	wrapped
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/agentic-tooling-sources/dialogs.md	git:udon	cc389f9	115	83	120	773.0	0	mixed
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/agentic-tooling-sources/elsewhere.md	git:udon	cc389f9	61	99	150	1706.5	0	mixed
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/agentic-tooling-sources/harness-refs.md	git:udon	cc389f9	138	77	83	321.3	0	wrapped
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/agentic-tooling-sources/nexum-synaptic-elimigration.md	git:udon	cc389f9	159	74	79	414.5	0	wrapped
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/agentic-tooling-sources/ref-arch.md	git:udon	cc389f9	106	75	81	239.0	0	wrapped
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/agentic-tooling-sources/sapientia.md	git:udon	cc389f9	162	72	76	301.9	0	wrapped
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/agentic-tooling-sources/vaults.md	git:udon	cc389f9	110	76	81	319.2	0	wrapped
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/agentic-tooling-sources/zoetica-ennaos.md	git:udon	cc389f9	129	88	92	316.6	0	wrapped
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/sources-live-consumers.md	git:udon	cc389f9	8	68	84	676.2	0	wrapped
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/sources-schema-versioning.md	git:udon	cc389f9	332	71	76	253.1	0	wrapped
udon@cc389f9/v2/.archived/consumed-maps-2026-07-21/sources-udon-repo-design-ux.md	git:udon	cc389f9	19	71	75	574.7	0	wrapped
udon@cc389f9/v2/.archived/first-pass/brownfield/BIG-PICTURE-2026-07-20.md	git:udon	cc389f9	43	78	153	2605.7	34	mixed
udon@cc389f9/v2/.archived/first-pass/brownfield/DIRECTION-2026-07-19.md	git:udon	cc389f9	47	79	81	206.8	0	wrapped
udon@cc389f9/v2/.archived/first-pass/brownfield/wire-value-model-2026-07.md	git:udon	cc389f9	102	77	82	290.3	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/README-FIRST.md	git:udon	cc389f9	45	75	79	319.5	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/defining-udon.md	git:udon	cc389f9	28	267	406	9011.9	0	clean
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/feedback-from-gemini.md	git:udon	cc389f9	8	156	529	29285.1	0	clean
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/feedback-from-grok.md	git:udon	cc389f9	114	70	76	306.3	4	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/new-spec/ADM.md	git:udon	cc389f9	60	72	76	400.9	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/new-spec/GLOSSARY.md	git:udon	cc389f9	100	69	76	463.3	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/new-spec/OPEN-QUESTIONS.md	git:udon	cc389f9	4	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/new-spec/PEDAGOGY.md	git:udon	cc389f9	32	72	75	260.3	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/new-spec/RATIONALE.md	git:udon	cc389f9	56	71	75	242.4	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/new-spec/README.md	git:udon	cc389f9	29	72	75	281.0	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/new-spec/SPEC.md	git:udon	cc389f9	477	71	75	364.1	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-corpus/01-elements-identity.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-corpus/02-hierarchy.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-corpus/03-attributes-scan.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-corpus/04-attribute-values.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-corpus/05-blobs-ownership-stacking.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-corpus/06-node-values.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-corpus/07-prose-dedentation.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-corpus/08-comments.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-corpus/09-escape.md	git:udon	cc389f9	0	0	0	0	1	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-corpus/10-raw-freeform.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-corpus/11-dynamics-references.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-corpus/12-eof-unclosed.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-spec/CORE.md	git:udon	cc389f9	3	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/snippets/from-spec/TIME-SPEC.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/spec/CORE-supplement.md	git:udon	cc389f9	2	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/spec/CORE.md	git:udon	cc389f9	185	112	359	25901.7	0	mixed
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/spec/DYNAMICS.md	git:udon	cc389f9	33	69	79	280.7	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/spec/MARKDOWN.md	git:udon	cc389f9	41	74	79	420.8	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2a/spec/TIME-SPEC.md	git:udon	cc389f9	73	67	81	453.2	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/README-FIRST.md	git:udon	cc389f9	45	75	79	319.5	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/defining-udon.md	git:udon	cc389f9	28	267	406	9011.9	0	clean
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-corpus/01-elements-identity.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-corpus/02-hierarchy.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-corpus/03-attributes-scan.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-corpus/04-attribute-values.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-corpus/05-blobs-ownership-stacking.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-corpus/06-node-values.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-corpus/07-prose-dedentation.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-corpus/08-comments.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-corpus/09-escape.md	git:udon	cc389f9	0	0	0	0	1	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-corpus/10-raw-freeform.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-corpus/11-dynamics-references.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-corpus/12-eof-unclosed.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-spec/CORE.md	git:udon	cc389f9	3	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/snippets/from-spec/TIME-SPEC.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/spec/CORE-supplement.md	git:udon	cc389f9	2	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/spec/CORE.md	git:udon	cc389f9	185	112	359	25901.7	0	mixed
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/spec/DYNAMICS.md	git:udon	cc389f9	33	69	79	280.7	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/spec/MARKDOWN.md	git:udon	cc389f9	41	74	79	420.8	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-2b/spec/TIME-SPEC.md	git:udon	cc389f9	73	67	81	453.2	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/README-FIRST.md	git:udon	cc389f9	45	75	79	319.5	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/agents-thoughts.md	git:udon	cc389f9	7	347	577	22521.3	0	clean
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/defining-udon.md	git:udon	cc389f9	28	267	406	9011.9	0	clean
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/feedback-fable.md	git:udon	cc389f9	88	72	76	199.9	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/feedback-from-grok.md	git:udon	cc389f9	28	167	389	16266.3	8	clean
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/new-spec/1-GRAMMAR.md	git:udon	cc389f9	27	140	309	7950.8	0	clean
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/new-spec/2-SPECIFICATION.md	git:udon	cc389f9	32	112	260	5768.0	0	mixed
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/new-spec/3-DIALECTS.md	git:udon	cc389f9	13	108	227	3246.4	0	mixed
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/new-spec/DECISIONS.md	git:udon	cc389f9	1	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/new-spec/GLOSSARY.md	git:udon	cc389f9	1	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-corpus/01-elements-identity.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-corpus/02-hierarchy.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-corpus/03-attributes-scan.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-corpus/04-attribute-values.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-corpus/05-blobs-ownership-stacking.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-corpus/06-node-values.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-corpus/07-prose-dedentation.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-corpus/08-comments.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-corpus/09-escape.md	git:udon	cc389f9	0	0	0	0	1	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-corpus/10-raw-freeform.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-corpus/11-dynamics-references.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-corpus/12-eof-unclosed.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-spec/CORE.md	git:udon	cc389f9	3	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/snippets/from-spec/TIME-SPEC.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/spec/CORE-supplement.md	git:udon	cc389f9	2	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/spec/CORE.md	git:udon	cc389f9	185	112	359	25901.7	0	mixed
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/spec/DYNAMICS.md	git:udon	cc389f9	33	69	79	280.7	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/spec/MARKDOWN.md	git:udon	cc389f9	41	74	79	420.8	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3a/spec/TIME-SPEC.md	git:udon	cc389f9	73	67	81	453.2	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/README-FIRST.md	git:udon	cc389f9	45	75	79	319.5	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/agents-thoughts.md	git:udon	cc389f9	116	82	222	6141.0	17	mixed
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/defining-udon.md	git:udon	cc389f9	28	267	406	9011.9	0	clean
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/feedback-fable.md	git:udon	cc389f9	121	73	75	136.4	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/feedback-from-gemini.md	git:udon	cc389f9	10	223	392	14527.7	0	clean
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/new-spec/CORE.md	git:udon	cc389f9	284	72	79	477.4	4	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/new-spec/DECISIONS.md	git:udon	cc389f9	46	69	78	616.3	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/new-spec/GLOSSARY.md	git:udon	cc389f9	11	73	75	594.5	1	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/new-spec/GRAMMAR.md	git:udon	cc389f9	50	56	78	474.5	3	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/new-spec/MODEL.md	git:udon	cc389f9	65	72	78	369.4	1	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/new-spec/OPEN.md	git:udon	cc389f9	4	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/new-spec/README.md	git:udon	cc389f9	22	72	76	406.6	1	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/new-spec/SEMANTICS.md	git:udon	cc389f9	50	71	79	490.0	1	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/new-spec/dialects/README.md	git:udon	cc389f9	4	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/new-spec/dialects/dynamics.md	git:udon	cc389f9	24	73	79	540.6	3	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/new-spec/dialects/temporal.md	git:udon	cc389f9	37	59	79	636.0	3	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/new-spec/layers/markdown.md	git:udon	cc389f9	17	70	79	634.2	1	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/new-spec/pedagogy/tour.md	git:udon	cc389f9	13	65	78	259.3	0	wrapped
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-corpus/01-elements-identity.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-corpus/02-hierarchy.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-corpus/03-attributes-scan.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-corpus/04-attribute-values.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-corpus/05-blobs-ownership-stacking.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-corpus/06-node-values.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-corpus/07-prose-dedentation.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-corpus/08-comments.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-corpus/09-escape.md	git:udon	cc389f9	0	0	0	0	1	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-corpus/10-raw-freeform.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-corpus/11-dynamics-references.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-corpus/12-eof-unclosed.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-spec/CORE.md	git:udon	cc389f9	3	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/snippets/from-spec/TIME-SPEC.md	git:udon	cc389f9	0	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/spec/CORE-supplement.md	git:udon	cc389f9	2	0	0	0	0	too-small
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/spec/CORE.md	git:udon	cc389f9	185	112	359	25901.7	0	mixed
udon@cc389f9/v2/.archived/first-pass/greenfield-3b/spec/DYNAMICS.md	git:udon	cc389f9	33	69	79	280.7	0	wrapped
